minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,distance_to_centre,type_secondary,price
5.0,3.0,108.8,57.1,15.6,3.0,3,1.29,1,108800000.0
9.0,3.0,96.9,59.0,11.1,2.0,5,0.94,1,53000000.0
6.0,3.0,63.2,34.1,11.9,40.0,41,6.55,1,44240000.0
6.0,3.0,145.0,75.4,18.6,3.0,6,3.06,1,105000000.0
9.0,3.0,103.8,59.0,15.0,6.0,6,3.06,1,47000000.0
6.0,3.0,111.0,40.0,15.8,5.0,6,3.06,1,67990000.0
10.0,3.0,117.0,51.0,6.0,3.0,5,1.42,1,170000000.0
9.0,3.0,237.2,157.1,17.2,14.0,14,4.8,1,224900000.0
11.0,3.0,92.0,70.0,20.0,4.0,21,5.88,1,52500000.0
13.0,3.0,109.0,75.0,25.0,35.0,58,10.03,1,38000000.0
11.0,3.0,86.0,54.0,8.0,2.0,9,0.8,1,95700000.0
7.0,3.0,83.5,49.7,12.5,16.0,22,7.48,1,22450000.0
1.0,3.0,104.0,74.0,20.0,3.0,15,5.15,1,67000000.0
28.0,3.0,70.0,12.0,12.4,2.0,14,8.35,1,46000000.0
11.0,3.0,141.0,73.4,18.3,3.0,15,4.8,1,179000000.0
8.0,3.0,237.0,157.0,26.2,14.0,14,4.8,1,222000000.0
7.0,3.0,75.7,40.0,5.0,7.0,17,5.15,1,39000000.0
5.0,3.0,97.0,51.2,14.7,7.0,18,4.8,1,145000000.0
5.0,3.0,97.0,72.0,15.0,5.0,14,3.93,1,86000000.0
7.0,3.0,95.0,60.0,15.0,11.0,21,3.46,1,100000000.0
4.0,3.0,95.5,65.0,14.5,29.0,29,11.06,1,33999000.0
5.0,3.0,90.53,47.9,14.1,10.0,21,5.0,1,100000000.0
13.0,3.0,121.0,66.0,15.0,16.0,39,8.35,1,115000000.0
8.0,3.0,68.5,38.8,9.1,4.0,6,4.25,1,24500000.0
17.0,3.0,82.2,52.3,7.6,37.0,41,5.15,1,56650000.0
15.0,3.0,91.4,61.9,7.1,10.0,41,5.15,1,72000000.0
16.0,3.0,95.7,40.0,14.6,3.0,7,1.69,1,115000000.0
6.0,3.0,118.7,62.1,16.5,3.0,5,4.8,1,115732500.0
9.0,3.0,83.0,52.0,10.0,7.0,13,4.8,1,99600000.0
8.0,3.0,83.0,44.1,13.5,7.0,13,4.8,1,99600000.0
11.0,3.0,141.0,73.4,18.3,3.0,15,4.8,1,179000000.0
10.0,3.0,169.0,87.6,20.6,4.0,6,4.8,1,170000000.0
8.0,3.0,137.0,71.4,18.0,9.0,15,4.8,1,250000000.0
7.0,3.0,75.0,50.0,9.0,1.0,7,1.37,1,49899998.0
10.0,3.0,79.9,34.5,28.0,2.0,2,3.38,1,55600000.0
5.0,3.0,114.0,35.0,16.1,7.0,21,5.0,1,131000000.0
5.0,3.0,140.0,62.0,27.0,2.0,4,1.35,1,238840000.0
15.0,3.0,100.0,9.6,14.9,6.0,7,3.43,1,120000000.0
5.0,3.0,111.0,58.3,15.8,6.0,8,3.93,1,144170000.0
7.0,3.0,113.9,56.6,17.0,6.0,12,4.8,1,148070000.0
6.0,3.0,188.5,97.4,22.2,3.0,4,1.37,1,175000000.0
7.0,3.0,90.8,45.7,12.6,2.0,30,7.65,1,33800000.0
17.0,3.0,81.6,33.7,28.8,13.0,28,2.97,1,45000000.0
10.0,3.0,94.1,7.0,14.4,4.0,5,2.55,1,41000000.0
7.0,3.0,93.8,68.8,20.0,4.0,14,1.35,1,53000000.0
12.0,3.0,91.0,69.0,10.0,8.0,41,7.14,1,72000000.0
7.0,3.0,105.0,67.0,14.0,3.0,13,4.15,1,75000000.0
10.0,3.0,130.0,80.0,25.0,4.0,13,2.56,1,99000000.0
15.0,3.0,135.0,79.0,18.0,2.0,11,2.68,1,124000000.0
12.0,3.0,126.3,66.0,17.1,3.0,18,3.06,1,75000000.0
11.0,3.0,95.0,75.0,12.0,7.0,14,3.93,1,145000000.0
7.0,3.0,152.5,15.0,19.3,3.0,6,1.76,1,205875000.0
11.0,3.0,127.4,97.4,20.0,6.0,6,0.15,1,56000000.0
25.0,3.0,75.3,37.3,13.0,17.0,21,5.0,1,65000000.0
6.0,3.0,163.7,15.0,20.2,4.0,6,2.14,1,224900000.0
5.0,3.0,80.0,40.1,16.7,22.0,30,5.64,1,23800000.0
7.0,3.0,92.9,48.0,20.3,5.0,17,5.88,1,36000000.0
3.0,3.0,98.5,40.2,19.7,3.0,4,3.46,1,35490000.0
9.0,3.0,99.0,74.0,15.0,10.0,25,5.15,1,56500000.0
13.0,3.0,143.3,101.8,33.7,39.0,58,10.03,1,48500000.0
9.0,3.0,237.2,66.7,17.2,14.0,14,4.8,1,224900000.0
4.0,3.0,62.0,42.0,6.6,1.0,6,4.8,1,24800000.0
5.0,3.0,62.7,41.0,9.0,2.0,5,4.8,1,27500000.0
5.0,3.0,71.2,41.0,6.2,2.0,14,8.35,1,44988700.0
7.0,3.0,127.6,80.0,7.0,6.0,21,3.46,1,128000000.0
6.0,3.0,94.0,57.0,8.0,2.0,7,0.94,1,153000000.0
10.0,3.0,77.2,50.9,8.4,5.0,12,5.15,1,41500000.0
6.0,3.0,70.0,37.5,12.4,15.0,15,5.15,1,42990000.0
15.0,3.0,91.5,29.3,14.2,6.0,21,6.55,1,45000000.0
11.0,3.0,142.8,30.0,18.5,6.0,8,1.69,1,250000000.0
14.0,3.0,60.6,43.3,6.0,2.0,9,14.16,1,14450000.0
4.0,3.0,60.0,43.9,6.1,9.0,9,9.94,1,14500000.0
4.0,3.0,84.0,44.6,13.6,11.0,22,12.42,1,24287000.0
17.0,3.0,77.2,59.5,10.5,11.0,22,3.46,1,33500000.0
10.0,3.0,163.5,84.0,20.0,9.0,57,7.14,1,82000000.0
15.0,3.0,148.7,77.3,18.9,4.0,20,3.46,1,147213000.0
5.0,3.0,60.0,37.0,8.0,9.0,9,11.87,1,12800000.0
5.0,3.0,60.0,40.0,14.0,4.0,17,11.87,1,17650000.0
15.0,3.0,55.0,29.9,11.2,7.0,8,9.25,1,24000050.0
4.0,3.0,85.0,60.0,20.0,29.0,29,11.06,1,32300000.0
18.0,3.0,57.0,31.0,11.4,20.0,29,6.55,1,34000000.0
11.0,3.0,117.9,56.4,34.6,20.0,20,10.18,1,39200000.0
1.0,3.0,90.0,60.0,20.0,8.0,13,5.15,1,41000000.0
14.0,3.0,123.8,61.4,34.0,1.0,16,7.14,1,46000000.0
4.0,3.0,110.0,80.0,20.0,6.0,8,3.46,1,55000000.0
7.0,3.0,90.0,60.0,20.0,14.0,25,8.35,1,58000000.0
13.0,3.0,112.0,58.8,15.9,17.0,25,6.55,1,64000000.0
7.0,3.0,102.9,12.4,15.2,3.0,9,0.94,1,67000000.0
3.0,3.0,100.9,76.9,12.9,16.0,22,3.46,1,70000000.0
6.0,3.0,160.0,110.0,25.0,3.0,10,1.77,1,69990000.0
9.0,3.0,102.0,10.7,15.1,7.0,9,1.76,1,69900000.0
11.0,3.0,141.5,36.0,18.3,2.0,8,1.76,1,93000000.0
11.0,3.0,100.0,52.7,14.9,7.0,18,3.46,1,96000000.0
7.0,3.0,126.6,66.1,17.1,6.0,27,3.06,1,99000000.0
7.0,3.0,135.0,10.0,17.8,4.0,8,1.42,1,129990000.0
