station;latitude;longitude
Москва-Пассажирская;55.7788343;37.6537207
Кунцевская;55.7268977;37.4495857
Черкизово;55.8030155;37.7466848
Медведково;55.8871767;37.66155
Бабушкинская;55.8696342;37.6641097
Москва-Пассажирская-Курская;55.7577735;37.6627901
Партизанская;55.788503;37.7509929
Семёновская;55.7833072;37.7212818
Москва-Пассажирская-Казанская;55.7742667;37.6598644
Москва-Рижская;55.795067;37.6322554
Кожухово;55.699905;37.6512864
Угрешская;55.7154769;37.6874448
Филёвский парк;55.7395085;37.4833717
Багратионовская;55.7437316;37.497737
Фили;55.7461266;37.5148273
Кутузовская;55.7399906;37.5343862
Студенческая;55.7388299;37.5484101
Электрозаводская;55.7817132;37.7037878
Бауманская;55.7730392;37.6805494
Площадь Революции;55.7566536;37.6218637
Арбатская;55.752095;37.6069779
Молодёжная;55.7407572;37.4169385
Пионерская;55.7359875;37.4671358
Смоленская;55.747394;37.5818245
Кузнецкий Мост;55.7607671;37.6261664
Таганская;55.740465;37.6518996
Пролетарская;55.731857;37.6658787
Волгоградский проспект;55.7252386;37.6868906
Текстильщики;55.7088138;37.7315039
Кузьминки;55.7056021;37.7657844
Выхино;55.7156444;37.8179229
Рязанский проспект;55.716947;37.7933151
Арбатская;55.7518523;37.6006567
Деловой центр;55.7500874;37.5413666
Александровский сад;55.7524027;37.6086825
Киевская;55.7436835;37.5656452
Славянский бульвар;55.7295963;37.4707878
Бекасово I;55.4296452;36.8401684
Новогиреево;55.751769;37.8167454
Перово;55.7511973;37.7864823
Шоссе Энтузиастов;55.7575686;37.7494868
Москва-Сити;55.7483053;37.5342309
Тёплый Стан;55.6188619;37.5082183
Калужская;55.657091;37.5405263
Новые Черёмушки;55.6702787;37.5546984
Ясенево;55.6063062;37.533407
Бульвар Рокоссовского;55.8146824;37.73434
Черкизовская;55.8038807;37.7450321
Преображенская площадь;55.7963698;37.7153466
Лихоборы;55.842712;37.5304764
Речной вокзал;55.8550132;37.4762129
Водный стадион;55.8398559;37.4868598
Войковская;55.819052;37.4980181
Аэропорт;55.8003966;37.5331501
Динамо;55.7897397;37.558208
Сокольники;55.7888058;37.6802842
Комсомольская;55.7752083;37.6560339
Красносельская;55.780356;37.6676557
Охотный ряд;55.7577671;37.6164974
Лубянка;55.7598747;37.627859
Чистые пруды;55.7658711;37.639028
Свиблово;55.8552129;37.652706
Ботанический сад;55.8448445;37.6382462
Авиамоторная;55.7525349;37.7200631
Площадь Ильича;55.7471964;37.6831971
Марксистская;55.7413164;37.6535345
Рижская;55.7936866;37.6364908
Проспект Мира;55.7808506;37.6319812
Сухаревская;55.7729551;37.6312038
Тургеневская;55.766492;37.637467
Третьяковская;55.7409166;37.6273436
Октябрьская;55.7304961;37.6109093
Шаболовская;55.7199872;37.6076956
Внуково;55.648962;37.2695269
Кропоткинская;55.7454302;37.603807
Библиотека имени Ленина;55.7512323;37.6101708
Спортивная;55.7233833;37.5642133
Фрунзенская;55.7268793;37.57833
Ленинский проспект;55.7076167;37.5862116
Академическая;55.6878077;37.5735148
Профсоюзная;55.6779304;37.5629043
Беляево;55.6427774;37.5256804
Парк Культуры;55.735811;37.5913019
Октябрьская;55.7297787;37.6093994
Смоленская;55.7488081;37.5827207
Маяковская;55.7701709;37.5950872
Цветной бульвар;55.7708721;37.6179101
Новоясеневская;55.6009942;37.554139
Павелецкая;55.7304982;37.6378407
Павелецкая;55.7323172;37.6381483
Театральная;55.7575071;37.6191912
Новокузнецкая;55.7414344;37.6292018
Тверская;55.7648953;37.606313
Автозаводская;55.7073446;37.6577684
Коломенская;55.6784809;37.6639248
Технопарк;55.6936232;37.6644353
Варшавская;55.654956;37.6221979
